,Temps,Temperature,Frequency,Cpu_usage,Cpu_memory,Classe
0,1697218235.609,37.972,1800.0,8.3,9.3,normal
1,1697218236.112,36.024,1800.0,6.9,9.6,normal
2,1697218236.615,36.511,1800.0,15.2,10.0,normal
3,1697218237.117,37.485,1800.0,6.5,10.0,normal
4,1697218237.62,37.485,1800.0,8.6,10.1,normal
5,1697218238.124,37.972,1800.0,19.4,10.3,normal
6,1697218238.627,36.511,1800.0,17.4,10.4,normal
7,1697218239.129,36.998,1800.0,2.5,10.4,normal
8,1697218239.632,37.485,1800.0,4.5,10.4,normal
9,1697218240.134,37.972,1800.0,5.4,10.4,normal
10,1697218240.639,36.511,700.0,4.0,10.4,normal
11,1697218241.145,36.511,600.0,4.5,10.4,normal
12,1697218241.65,37.485,800.0,4.0,10.4,normal
13,1697218242.154,37.972,800.0,5.9,10.4,normal
14,1697218242.659,36.024,800.0,6.4,10.5,normal
15,1697218243.165,36.511,600.0,4.9,10.4,normal
16,1697218243.67,35.537,1200.0,12.9,9.6,normal
17,1697218244.174,38.946,1800.0,32.8,10.3,normal
18,1697218244.677,37.485,1800.0,15.4,10.4,normal
19,1697218245.18,36.511,1800.0,4.0,10.4,normal
20,1697218245.682,37.485,1800.0,4.0,10.4,normal
21,1697218246.185,37.485,1800.0,4.5,10.4,normal
22,1697218246.687,37.485,1800.0,3.5,10.4,normal
23,1697218247.19,37.485,1800.0,3.5,10.4,normal
24,1697218247.692,37.485,1800.0,5.0,10.4,normal
25,1697218248.195,36.998,1800.0,4.0,10.4,normal
26,1697218248.697,36.511,1800.0,4.0,10.4,normal
27,1697218249.203,36.998,600.0,4.9,10.4,normal
28,1697218249.709,36.511,600.0,5.4,10.3,normal
29,1697218250.213,37.972,1800.0,28.9,10.1,normal
30,1697218250.716,37.485,1800.0,24.6,10.3,normal
31,1697218251.218,37.972,1800.0,3.5,10.3,normal
32,1697218251.721,37.972,1800.0,3.5,10.3,normal
33,1697218252.224,37.972,1800.0,3.0,10.3,normal
34,1697218252.727,37.485,1800.0,5.9,10.3,normal
35,1697218253.229,38.946,1800.0,2.5,10.3,normal
36,1697218253.732,37.485,1800.0,2.5,10.3,normal
37,1697218254.234,38.459,1800.0,2.0,10.3,normal
38,1697218254.737,39.433,1800.0,4.5,10.3,normal
39,1697218255.242,36.511,700.0,3.5,10.4,normal
40,1697218255.745,37.485,1800.0,10.0,9.2,normal
41,1697218256.249,37.972,1800.0,30.2,10.2,normal
42,1697218256.752,37.972,1800.0,18.9,10.3,normal
43,1697218257.255,37.972,1800.0,3.0,10.3,normal
44,1697218257.757,37.972,1800.0,5.4,10.3,normal
45,1697218258.26,39.433,1800.0,4.0,10.3,normal
46,1697218258.763,38.459,1800.0,4.0,10.3,normal
47,1697218259.265,37.972,1800.0,4.0,10.3,normal
48,1697218259.768,37.972,1800.0,4.5,10.3,normal
49,1697218260.27,38.459,1800.0,3.5,10.3,normal
50,1697218260.775,38.946,700.0,4.4,10.4,normal
51,1697218261.28,38.459,900.0,6.9,10.4,normal
52,1697218261.784,37.972,1100.0,10.0,9.3,normal
53,1697218262.287,38.946,1800.0,30.3,10.2,normal
54,1697218262.79,38.459,1800.0,19.1,10.3,normal
55,1697218263.292,37.972,1800.0,3.5,10.3,normal
56,1697218263.795,38.459,1800.0,4.0,10.4,normal
57,1697218264.298,39.433,1800.0,4.5,10.4,normal
58,1697218264.8,39.433,1800.0,3.5,10.3,normal
59,1697218265.303,39.433,1800.0,3.5,10.3,normal
60,1697218265.805,38.459,1800.0,5.0,10.3,normal
61,1697218266.308,38.946,1800.0,3.0,10.4,normal
62,1697218266.811,37.972,1800.0,6.4,10.4,normal
63,1697218267.316,38.459,600.0,4.0,10.4,normal
64,1697218267.82,39.433,1000.0,5.9,10.4,normal
65,1697218268.324,38.459,1800.0,27.9,10.1,normal
66,1697218268.827,38.459,1800.0,26.4,10.3,normal
67,1697218269.329,39.433,1800.0,5.9,10.3,normal
68,1697218269.832,39.433,1800.0,2.0,10.3,normal
69,1697218270.335,38.946,1800.0,3.0,10.3,normal
70,1697218270.837,37.972,1800.0,3.5,10.3,normal
71,1697218271.34,39.92,1800.0,5.4,10.3,normal
72,1697218271.843,38.459,1800.0,4.0,10.3,normal
73,1697218272.345,37.972,1800.0,3.5,10.3,normal
74,1697218272.848,38.946,1800.0,4.5,10.3,normal
75,1697218273.352,38.459,900.0,5.0,10.3,normal
76,1697218273.856,38.459,900.0,9.0,9.2,normal
77,1697218274.36,39.433,1800.0,29.9,10.2,normal
78,1697218274.862,39.433,1800.0,19.7,10.3,normal
79,1697218275.365,38.946,1800.0,4.0,10.3,normal
80,1697218275.867,39.433,1800.0,3.0,10.3,normal
81,1697218276.37,39.433,1800.0,3.5,10.3,normal
82,1697218276.872,38.459,1800.0,4.0,10.3,normal
83,1697218298.506,39.433,1800.0,66.7,8.6,normal
